model,arm,rep,passed,trap_caught,reused
sonnet,control,0,False,False,False
sonnet,control,1,False,False,False
sonnet,control,2,False,False,False
sonnet,control,3,False,False,False
sonnet,control,4,False,False,False
sonnet,control,5,False,False,False
sonnet,control,6,False,False,False
sonnet,control,7,False,False,False
sonnet,control,8,False,False,False
sonnet,control,9,False,False,False
sonnet,control,10,False,False,False
sonnet,control,11,False,False,False
sonnet,control,12,False,False,False
sonnet,control,13,False,False,False
sonnet,control,14,False,False,False
sonnet,control,15,False,False,False
sonnet,control,16,False,False,False
sonnet,control,17,False,False,False
sonnet,control,18,False,False,False
sonnet,control,19,False,False,False
sonnet,convention,0,False,False,True
sonnet,convention,1,False,False,True
sonnet,convention,2,False,False,True
sonnet,convention,3,False,False,True
sonnet,convention,4,False,False,True
sonnet,convention,5,False,False,True
sonnet,convention,6,False,False,True
sonnet,convention,7,False,False,True
sonnet,convention,8,False,False,True
sonnet,convention,9,False,False,True
sonnet,convention,10,False,False,True
sonnet,convention,11,False,False,True
sonnet,convention,12,False,False,True
sonnet,convention,13,False,False,True
sonnet,convention,14,False,False,True
sonnet,convention,15,False,False,True
sonnet,convention,16,False,False,True
sonnet,convention,17,False,False,True
sonnet,convention,18,False,False,True
sonnet,convention,19,False,False,True
sonnet,convention_order,0,True,True,True
sonnet,convention_order,1,True,True,True
sonnet,convention_order,2,False,False,True
sonnet,convention_order,3,True,True,True
sonnet,convention_order,4,True,True,True
sonnet,convention_order,5,False,False,True
sonnet,convention_order,6,False,False,True
sonnet,convention_order,7,True,True,True
sonnet,convention_order,8,True,True,True
sonnet,convention_order,9,True,True,True
sonnet,convention_order,10,True,True,True
sonnet,convention_order,11,True,True,True
sonnet,convention_order,12,True,True,True
sonnet,convention_order,13,True,True,True
sonnet,convention_order,14,True,True,True
sonnet,convention_order,15,True,True,True
sonnet,convention_order,16,True,True,True
sonnet,convention_order,17,True,True,True
sonnet,convention_order,18,True,True,True
sonnet,convention_order,19,True,True,True
