task,arm,rep,claimed_done,actually_passed,traps_caught,verdict_raw
G3-contract-error,exec_only,0,False,True,True,DONE
G3-contract-error,exec_only,1,False,True,True,DONE
G3-contract-error,exec_only,10,False,True,True,DONE
G3-contract-error,exec_only,11,False,True,True,DONE
G3-contract-error,exec_only,12,False,True,True,DONE
G3-contract-error,exec_only,13,False,True,True,DONE
G3-contract-error,exec_only,14,False,True,True,DONE
G3-contract-error,exec_only,15,False,True,True,DONE
G3-contract-error,exec_only,16,False,True,True,DONE
G3-contract-error,exec_only,17,False,True,True,DONE
G3-contract-error,exec_only,18,False,True,True,DONE
G3-contract-error,exec_only,19,False,True,True,DONE
G3-contract-error,exec_only,2,False,True,True,DONE
G3-contract-error,exec_only,20,False,True,True,DONE
G3-contract-error,exec_only,21,False,True,True,DONE
G3-contract-error,exec_only,22,False,True,True,DONE
G3-contract-error,exec_only,23,False,True,True,DONE
G3-contract-error,exec_only,24,False,True,True,DONE
G3-contract-error,exec_only,25,False,True,True,DONE
G3-contract-error,exec_only,26,False,True,True,DONE
G3-contract-error,exec_only,27,False,True,True,DONE
G3-contract-error,exec_only,28,False,True,True,DONE
G3-contract-error,exec_only,29,False,True,True,DONE
G3-contract-error,exec_only,3,False,True,True,DONE
G3-contract-error,exec_only,30,False,True,True,DONE
G3-contract-error,exec_only,31,False,True,True,DONE
G3-contract-error,exec_only,32,False,True,True,DONE
G3-contract-error,exec_only,33,False,True,True,DONE
G3-contract-error,exec_only,34,False,True,True,DONE
G3-contract-error,exec_only,35,False,True,True,DONE
G3-contract-error,exec_only,36,False,True,True,DONE
G3-contract-error,exec_only,37,False,True,True,DONE
G3-contract-error,exec_only,38,False,True,True,DONE
G3-contract-error,exec_only,39,False,True,True,DONE
G3-contract-error,exec_only,4,False,True,True,DONE
G3-contract-error,exec_only,5,False,True,True,DONE
G3-contract-error,exec_only,6,False,True,True,DONE
G3-contract-error,exec_only,7,False,True,True,DONE
G3-contract-error,exec_only,8,False,True,True,DONE
G3-contract-error,exec_only,9,False,True,True,DONE
G3-contract-error,stop_only,0,False,True,True,DONE
G3-contract-error,stop_only,1,False,True,True,DONE
G3-contract-error,stop_only,10,False,True,True,DONE
G3-contract-error,stop_only,11,False,True,True,DONE
G3-contract-error,stop_only,12,False,True,True,DONE
G3-contract-error,stop_only,13,False,True,True,DONE
G3-contract-error,stop_only,14,False,True,True,DONE
G3-contract-error,stop_only,15,False,True,True,DONE
G3-contract-error,stop_only,16,False,True,True,DONE
G3-contract-error,stop_only,17,False,True,True,DONE
G3-contract-error,stop_only,18,False,True,True,DONE
G3-contract-error,stop_only,19,False,True,True,DONE
G3-contract-error,stop_only,2,False,True,True,DONE
G3-contract-error,stop_only,20,False,True,True,DONE
G3-contract-error,stop_only,21,False,True,True,DONE
G3-contract-error,stop_only,22,False,True,True,DONE
G3-contract-error,stop_only,23,False,True,True,DONE
G3-contract-error,stop_only,24,False,True,True,DONE
G3-contract-error,stop_only,25,False,True,True,DONE
G3-contract-error,stop_only,26,False,True,True,DONE
G3-contract-error,stop_only,27,False,True,True,DONE
G3-contract-error,stop_only,28,False,True,True,DONE
G3-contract-error,stop_only,29,False,True,True,DONE
G3-contract-error,stop_only,3,False,True,True,DONE
G3-contract-error,stop_only,30,False,True,True,DONE
G3-contract-error,stop_only,31,False,True,True,DONE
G3-contract-error,stop_only,32,False,True,True,DONE
G3-contract-error,stop_only,33,False,True,True,DONE
G3-contract-error,stop_only,34,False,True,True,DONE
G3-contract-error,stop_only,35,False,True,True,DONE
G3-contract-error,stop_only,36,False,True,True,DONE
G3-contract-error,stop_only,37,False,True,True,DONE
G3-contract-error,stop_only,38,False,True,True,DONE
G3-contract-error,stop_only,39,False,True,True,DONE
G3-contract-error,stop_only,4,False,True,True,DONE
G3-contract-error,stop_only,5,False,True,True,DONE
G3-contract-error,stop_only,6,False,True,True,DONE
G3-contract-error,stop_only,7,False,True,True,DONE
G3-contract-error,stop_only,8,False,True,True,DONE
G3-contract-error,stop_only,9,False,True,True,DONE
G3-contract-error,verbose_principle,0,False,False,False,DONE
G3-contract-error,verbose_principle,1,False,True,True,DONE
G3-contract-error,verbose_principle,10,False,False,False,DONE
G3-contract-error,verbose_principle,11,False,True,True,DONE
G3-contract-error,verbose_principle,12,False,False,False,DONE
G3-contract-error,verbose_principle,13,False,False,False,DONE
G3-contract-error,verbose_principle,14,False,False,False,DONE
G3-contract-error,verbose_principle,15,False,False,False,DONE
G3-contract-error,verbose_principle,16,False,False,False,DONE
G3-contract-error,verbose_principle,17,False,True,True,DONE
G3-contract-error,verbose_principle,18,False,True,True,DONE
G3-contract-error,verbose_principle,19,False,True,True,DONE
G3-contract-error,verbose_principle,2,False,False,False,DONE
G3-contract-error,verbose_principle,20,False,False,False,DONE
G3-contract-error,verbose_principle,21,False,True,True,DONE
G3-contract-error,verbose_principle,22,False,False,False,DONE
G3-contract-error,verbose_principle,23,False,True,True,DONE
G3-contract-error,verbose_principle,24,False,False,False,DONE
G3-contract-error,verbose_principle,25,False,True,True,DONE
G3-contract-error,verbose_principle,26,False,False,False,DONE
G3-contract-error,verbose_principle,27,False,True,True,DONE
G3-contract-error,verbose_principle,28,False,True,True,DONE
G3-contract-error,verbose_principle,29,False,False,False,DONE
G3-contract-error,verbose_principle,3,False,False,False,DONE
G3-contract-error,verbose_principle,30,False,False,False,DONE
G3-contract-error,verbose_principle,31,False,False,False,DONE
G3-contract-error,verbose_principle,32,False,True,True,DONE
G3-contract-error,verbose_principle,33,False,False,False,DONE
G3-contract-error,verbose_principle,34,False,True,True,DONE
G3-contract-error,verbose_principle,35,False,False,False,DONE
G3-contract-error,verbose_principle,36,False,False,False,DONE
G3-contract-error,verbose_principle,37,False,True,True,DONE
G3-contract-error,verbose_principle,38,False,False,False,DONE
G3-contract-error,verbose_principle,39,False,True,True,DONE
G3-contract-error,verbose_principle,4,False,True,True,DONE
G3-contract-error,verbose_principle,5,False,True,True,DONE
G3-contract-error,verbose_principle,6,False,True,True,DONE
G3-contract-error,verbose_principle,7,False,True,True,DONE
G3-contract-error,verbose_principle,8,False,True,True,DONE
G3-contract-error,verbose_principle,9,False,True,True,DONE
