task,arm,rep,claimed_done,actually_passed,traps_caught,verdict_raw
G3-contract-error,convention,0,False,True,True,DONE
G3-contract-error,convention,1,False,True,True,DONE
G3-contract-error,convention,10,False,True,True,DONE
G3-contract-error,convention,11,False,True,True,DONE
G3-contract-error,convention,12,False,True,True,DONE
G3-contract-error,convention,13,False,True,True,DONE
G3-contract-error,convention,14,False,True,True,DONE
G3-contract-error,convention,15,False,True,True,DONE
G3-contract-error,convention,16,False,True,True,DONE
G3-contract-error,convention,17,False,True,True,DONE
G3-contract-error,convention,18,False,True,True,DONE
G3-contract-error,convention,19,False,True,True,DONE
G3-contract-error,convention,2,False,True,True,DONE
G3-contract-error,convention,20,False,True,True,DONE
G3-contract-error,convention,21,False,True,True,DONE
G3-contract-error,convention,22,False,True,True,DONE
G3-contract-error,convention,23,False,True,True,DONE
G3-contract-error,convention,24,False,True,True,DONE
G3-contract-error,convention,25,False,True,True,DONE
G3-contract-error,convention,26,False,True,True,DONE
G3-contract-error,convention,27,False,True,True,DONE
G3-contract-error,convention,28,False,True,True,DONE
G3-contract-error,convention,29,False,True,True,DONE
G3-contract-error,convention,3,False,True,True,DONE
G3-contract-error,convention,30,False,True,True,DONE
G3-contract-error,convention,31,False,True,True,DONE
G3-contract-error,convention,32,False,True,True,DONE
G3-contract-error,convention,33,False,True,True,DONE
G3-contract-error,convention,34,False,True,True,DONE
G3-contract-error,convention,35,False,True,True,DONE
G3-contract-error,convention,36,False,True,True,DONE
G3-contract-error,convention,37,False,True,True,DONE
G3-contract-error,convention,38,False,True,True,DONE
G3-contract-error,convention,39,False,True,True,DONE
G3-contract-error,convention,4,False,True,True,DONE
G3-contract-error,convention,5,False,True,True,DONE
G3-contract-error,convention,6,False,True,True,DONE
G3-contract-error,convention,7,False,True,True,DONE
G3-contract-error,convention,8,False,True,True,DONE
G3-contract-error,convention,9,False,True,True,DONE
G4-constraint-dedupe,convention,0,False,False,False,DONE
G4-constraint-dedupe,convention,1,False,True,True,DONE
G4-constraint-dedupe,convention,10,False,False,False,DONE
G4-constraint-dedupe,convention,11,False,False,False,DONE
G4-constraint-dedupe,convention,12,False,True,True,DONE
G4-constraint-dedupe,convention,13,False,False,False,DONE
G4-constraint-dedupe,convention,14,False,False,False,DONE
G4-constraint-dedupe,convention,15,False,False,False,DONE
G4-constraint-dedupe,convention,16,False,False,False,DONE
G4-constraint-dedupe,convention,17,False,False,False,DONE
G4-constraint-dedupe,convention,18,False,False,False,DONE
G4-constraint-dedupe,convention,19,False,False,False,DONE
G4-constraint-dedupe,convention,2,False,False,False,DONE
G4-constraint-dedupe,convention,20,False,False,False,DONE
G4-constraint-dedupe,convention,21,False,False,False,DONE
G4-constraint-dedupe,convention,22,False,False,False,DONE
G4-constraint-dedupe,convention,23,False,False,False,DONE
G4-constraint-dedupe,convention,24,False,False,False,DONE
G4-constraint-dedupe,convention,25,False,False,False,DONE
G4-constraint-dedupe,convention,26,False,False,False,DONE
G4-constraint-dedupe,convention,27,False,False,False,DONE
G4-constraint-dedupe,convention,28,False,True,True,DONE
G4-constraint-dedupe,convention,29,False,False,False,DONE
G4-constraint-dedupe,convention,3,False,False,False,DONE
G4-constraint-dedupe,convention,30,False,False,False,DONE
G4-constraint-dedupe,convention,31,False,False,False,DONE
G4-constraint-dedupe,convention,32,False,True,True,DONE
G4-constraint-dedupe,convention,33,False,False,False,DONE
G4-constraint-dedupe,convention,34,False,False,False,DONE
G4-constraint-dedupe,convention,35,False,True,True,DONE
G4-constraint-dedupe,convention,36,False,False,False,DONE
G4-constraint-dedupe,convention,37,False,True,True,DONE
G4-constraint-dedupe,convention,38,False,False,False,DONE
G4-constraint-dedupe,convention,39,False,False,False,DONE
G4-constraint-dedupe,convention,4,False,False,False,DONE
G4-constraint-dedupe,convention,5,False,True,True,DONE
G4-constraint-dedupe,convention,6,False,False,False,DONE
G4-constraint-dedupe,convention,7,False,False,False,DONE
G4-constraint-dedupe,convention,8,False,False,False,DONE
G4-constraint-dedupe,convention,9,False,False,False,DONE
