task,arm,rep,claimed_done,actually_passed,traps_caught,verdict_raw
G3-contract-error,control,0,False,False,False,DONE
G3-contract-error,control,1,False,False,False,DONE
G3-contract-error,control,10,False,False,False,DONE
G3-contract-error,control,11,False,False,False,DONE
G3-contract-error,control,12,False,False,False,DONE
G3-contract-error,control,13,False,False,False,DONE
G3-contract-error,control,14,False,False,False,DONE
G3-contract-error,control,15,False,False,False,DONE
G3-contract-error,control,16,False,False,False,DONE
G3-contract-error,control,17,False,False,False,DONE
G3-contract-error,control,18,False,False,False,DONE
G3-contract-error,control,19,False,False,False,DONE
G3-contract-error,control,2,False,False,False,DONE
G3-contract-error,control,20,False,False,False,DONE
G3-contract-error,control,21,False,False,False,DONE
G3-contract-error,control,22,False,False,False,DONE
G3-contract-error,control,23,False,False,False,DONE
G3-contract-error,control,24,False,False,False,DONE
G3-contract-error,control,25,False,False,False,DONE
G3-contract-error,control,26,False,False,False,DONE
G3-contract-error,control,27,False,False,False,DONE
G3-contract-error,control,28,False,False,False,DONE
G3-contract-error,control,29,False,False,False,DONE
G3-contract-error,control,3,False,False,False,DONE
G3-contract-error,control,30,False,False,False,DONE
G3-contract-error,control,31,False,False,False,DONE
G3-contract-error,control,32,False,False,False,DONE
G3-contract-error,control,33,False,False,False,DONE
G3-contract-error,control,34,False,False,False,DONE
G3-contract-error,control,35,False,False,False,DONE
G3-contract-error,control,36,False,False,False,DONE
G3-contract-error,control,37,False,False,False,DONE
G3-contract-error,control,38,False,False,False,DONE
G3-contract-error,control,39,False,False,False,DONE
G3-contract-error,control,4,False,False,False,DONE
G3-contract-error,control,5,False,False,False,DONE
G3-contract-error,control,6,False,False,False,DONE
G3-contract-error,control,7,False,False,False,DONE
G3-contract-error,control,9,False,False,False,DONE
G3-contract-error,placebo,0,False,False,False,DONE
G3-contract-error,placebo,11,False,False,False,DONE
