model,arm,rep,passed,trap_caught,reused
haiku,control,0,False,False,False
haiku,control,1,False,False,False
haiku,control,2,False,False,False
haiku,control,3,False,False,False
haiku,control,4,False,False,False
haiku,control,5,False,False,False
haiku,control,6,False,False,False
haiku,control,7,False,False,False
haiku,control,8,False,False,False
haiku,control,9,False,False,False
haiku,control,10,False,False,False
haiku,control,11,False,False,False
haiku,control,12,False,False,False
haiku,control,13,False,False,False
haiku,control,14,False,False,False
haiku,control,15,False,False,False
haiku,control,16,False,False,False
haiku,control,17,False,False,False
haiku,control,18,False,False,False
haiku,control,19,True,True,True
haiku,convention,0,True,True,True
haiku,convention,1,True,True,True
haiku,convention,2,True,True,True
haiku,convention,3,True,True,True
haiku,convention,4,True,True,True
haiku,convention,5,True,True,True
haiku,convention,6,True,True,True
haiku,convention,7,True,True,True
haiku,convention,8,True,True,True
haiku,convention,9,False,False,False
haiku,convention,10,True,True,True
haiku,convention,11,True,True,True
haiku,convention,12,True,True,True
haiku,convention,13,True,True,True
haiku,convention,14,True,True,True
haiku,convention,15,True,True,True
haiku,convention,16,True,True,True
haiku,convention,17,True,True,True
haiku,convention,18,True,True,True
haiku,convention,19,True,True,True
sonnet,control,0,False,False,False
sonnet,control,1,False,False,False
sonnet,control,2,False,False,False
sonnet,control,3,False,False,False
sonnet,control,4,False,False,False
sonnet,control,5,False,False,False
sonnet,control,6,False,False,False
sonnet,control,7,False,False,False
sonnet,control,8,False,False,False
sonnet,control,9,False,False,False
sonnet,control,10,False,False,False
sonnet,control,11,False,False,False
sonnet,control,12,False,False,False
sonnet,control,13,False,False,False
sonnet,control,14,False,False,False
sonnet,control,15,False,False,False
sonnet,control,16,False,False,False
sonnet,control,17,False,False,False
sonnet,control,18,False,False,False
sonnet,control,19,False,False,False
sonnet,convention,0,True,True,True
sonnet,convention,1,True,True,True
sonnet,convention,2,True,True,True
sonnet,convention,3,True,True,True
sonnet,convention,4,True,True,True
sonnet,convention,5,True,True,True
sonnet,convention,6,True,True,True
sonnet,convention,7,True,True,True
sonnet,convention,8,True,True,True
sonnet,convention,9,True,True,True
sonnet,convention,10,True,True,True
sonnet,convention,11,True,True,True
sonnet,convention,12,True,True,True
sonnet,convention,13,True,True,True
sonnet,convention,14,True,True,True
sonnet,convention,15,True,True,True
sonnet,convention,16,True,True,True
sonnet,convention,17,True,True,True
sonnet,convention,18,True,True,True
sonnet,convention,19,True,True,True
opus,control,0,True,True,True
opus,control,1,True,True,True
opus,control,2,False,False,False
opus,control,3,True,True,True
opus,control,4,True,True,True
opus,control,5,True,True,True
opus,control,6,False,False,False
opus,control,7,True,True,True
opus,control,8,False,False,False
opus,control,9,False,False,False
opus,control,10,True,True,True
opus,control,11,True,True,True
opus,control,12,True,True,True
opus,control,13,False,False,False
opus,control,14,True,True,True
opus,control,15,True,True,True
opus,control,16,True,True,True
opus,control,17,True,True,True
opus,control,18,True,True,True
opus,control,19,False,False,False
opus,convention,0,True,True,True
opus,convention,1,True,True,True
opus,convention,2,True,True,True
opus,convention,3,True,True,True
opus,convention,4,True,True,True
opus,convention,5,False,False,False
opus,convention,6,True,True,True
opus,convention,7,True,True,True
opus,convention,8,True,True,True
opus,convention,9,True,True,True
opus,convention,10,True,True,True
opus,convention,11,True,True,True
opus,convention,12,True,True,True
opus,convention,13,True,True,True
opus,convention,14,True,True,True
opus,convention,15,True,True,True
opus,convention,16,True,True,True
opus,convention,17,True,True,True
opus,convention,18,True,True,True
opus,convention,19,True,True,True
